Tanggal,Harga_Mingguan
"Friday, January 3, 2020",74.357498
"Friday, January 10, 2020",77.582497
"Friday, January 17, 2020",79.682503
"Friday, January 24, 2020",79.577499
"Friday, January 31, 2020",77.377502
"Friday, February 7, 2020",80.0075
"Friday, February 14, 2020",81.237503
"Friday, February 21, 2020",78.262497
"Friday, February 28, 2020",68.339996
"Friday, March 6, 2020",72.2575
"Friday, March 13, 2020",69.4925
"Friday, March 20, 2020",57.310001
"Friday, March 27, 2020",61.935001
"Friday, April 3, 2020",60.352501
"Thursday, April 9, 2020",66.997498
"Friday, April 17, 2020",70.699997
"Friday, April 24, 2020",70.7425
"Friday, May 1, 2020",72.267502
"Friday, May 8, 2020",77.532501
"Friday, May 15, 2020",76.927498
"Friday, May 22, 2020",79.722504
"Friday, May 29, 2020",79.485001
"Friday, June 5, 2020",82.875
"Friday, June 12, 2020",84.699997
"Friday, June 19, 2020",87.43
"Friday, June 26, 2020",88.407501
"Thursday, July 2, 2020",91.027496
"Friday, July 10, 2020",95.919998
"Friday, July 17, 2020",96.327499
"Friday, July 24, 2020",92.614998
"Friday, July 31, 2020",106.260002
"Friday, August 7, 2020",111.112503
"Friday, August 14, 2020",114.907501
"Friday, August 21, 2020",124.370003
"Friday, August 28, 2020",124.807503
"Friday, September 4, 2020",120.959999
"Friday, September 11, 2020",112
"Friday, September 18, 2020",106.839996
"Friday, September 25, 2020",112.279999
"Friday, October 2, 2020",113.019997
"Friday, October 9, 2020",116.970001
"Friday, October 16, 2020",119.019997
"Friday, October 23, 2020",115.040001
"Friday, October 30, 2020",108.860001
"Friday, November 6, 2020",118.690002
"Friday, November 13, 2020",119.260002
"Friday, November 20, 2020",117.339996
"Friday, November 27, 2020",116.589996
"Friday, December 4, 2020",122.25
"Friday, December 11, 2020",122.410004
"Friday, December 18, 2020",126.660004
"Thursday, December 24, 2020",131.970001
"Thursday, December 31, 2020",132.690002
"Friday, January 8, 2021",132.050003
"Friday, January 15, 2021",127.139999
"Friday, January 22, 2021",139.070007
"Friday, January 29, 2021",131.960007
"Friday, February 5, 2021",136.759995
"Friday, February 12, 2021",135.369995
"Friday, February 19, 2021",129.869995
"Friday, February 26, 2021",121.260002
"Friday, March 5, 2021",121.419998
"Friday, March 12, 2021",121.029999
"Friday, March 19, 2021",119.989998
"Friday, March 26, 2021",121.209999
"Thursday, April 1, 2021",123
"Friday, April 9, 2021",133
"Friday, April 16, 2021",134.160004
"Friday, April 23, 2021",134.320007
"Friday, April 30, 2021",131.460007
"Friday, May 7, 2021",130.210007
"Friday, May 14, 2021",127.449997
"Friday, May 21, 2021",125.43
"Friday, May 28, 2021",124.610001
"Friday, June 4, 2021",125.889999
"Friday, June 11, 2021",127.349998
"Friday, June 18, 2021",130.460007
"Friday, June 25, 2021",133.110001
"Friday, July 2, 2021",139.960007
"Friday, July 9, 2021",145.110001
"Friday, July 16, 2021",146.389999
"Friday, July 23, 2021",148.559998
"Friday, July 30, 2021",145.860001
"Friday, August 6, 2021",146.139999
"Friday, August 13, 2021",149.100006
"Friday, August 20, 2021",148.190002
"Friday, August 27, 2021",148.600006
"Friday, September 3, 2021",154.300003
"Friday, September 10, 2021",148.970001
"Friday, September 17, 2021",146.059998
"Friday, September 24, 2021",146.919998
"Friday, October 1, 2021",142.649994
"Friday, October 8, 2021",142.899994
"Friday, October 15, 2021",144.839996
"Friday, October 22, 2021",148.690002
"Friday, October 29, 2021",149.800003
"Friday, November 5, 2021",151.279999
"Friday, November 12, 2021",149.990005
"Friday, November 19, 2021",160.550003
"Friday, November 26, 2021",156.809998
"Friday, December 3, 2021",161.839996
"Friday, December 10, 2021",179.449997
"Friday, December 17, 2021",171.139999
"Thursday, December 23, 2021",176.279999
"Friday, December 31, 2021",177.570007
"Friday, January 7, 2022",172.169998
"Friday, January 14, 2022",173.070007
"Friday, January 21, 2022",162.410004
"Friday, January 28, 2022",170.330002
"Friday, February 4, 2022",172.389999
"Friday, February 11, 2022",168.639999
"Friday, February 18, 2022",167.300003
"Friday, February 25, 2022",164.850006
"Friday, March 4, 2022",163.169998
"Friday, March 11, 2022",154.729996
"Friday, March 18, 2022",163.979996
"Friday, March 25, 2022",174.720001
"Friday, April 1, 2022",174.309998
"Friday, April 8, 2022",170.089996
"Thursday, April 14, 2022",165.289993
"Friday, April 22, 2022",161.789993
"Friday, April 29, 2022",157.649994
"Friday, May 6, 2022",157.279999
"Friday, May 13, 2022",147.110001
"Friday, May 20, 2022",137.589996
"Friday, May 27, 2022",149.639999
"Friday, June 3, 2022",145.380005
"Friday, June 10, 2022",137.130005
"Friday, June 17, 2022",131.559998
"Friday, June 24, 2022",141.660004
"Friday, July 1, 2022",138.929993
"Friday, July 8, 2022",147.039993
"Friday, July 15, 2022",150.169998
"Friday, July 22, 2022",154.089996
"Friday, July 29, 2022",162.509995
"Friday, August 5, 2022",165.350006
"Friday, August 12, 2022",172.100006
"Friday, August 19, 2022",171.520004
"Friday, August 26, 2022",163.619995
"Friday, September 2, 2022",155.809998
"Friday, September 9, 2022",157.369995
"Friday, September 16, 2022",150.699997
"Friday, September 23, 2022",150.429993
"Friday, September 30, 2022",138.199997
"Friday, October 7, 2022",140.089996
